Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
NKE,44.69,2026/04/24,16:00 EDT,-0.0900002,44.98,45.42,44.59,15503089,20251121,62.39,12.99999,,,,,SELL
NKE,44.69,2026/04/24,16:00 EDT,-0.0900002,44.98,45.42,44.59,15503089,20240920,85.96,5.0,0.0,,,,BUY
NKE,44.69,2026/04/24,16:00 EDT,-0.0900002,44.98,45.42,44.59,15503089,20240823,83.99,5.0,0.0,,,,BUY
NKE,44.69,2026/04/24,16:00 EDT,-0.0900002,44.98,45.42,44.59,15503089,20240805,71.95,3.0,0.0,,,,BUY
NVDA,208.27,2026/04/24,16:00 EDT,8.63,199.96,210.95,199.81,213442479,20240829,121.51,4.99999,0.0,,,,SELL
NVDA,208.27,2026/04/24,16:00 EDT,8.63,199.96,210.95,199.81,213442479,20240821,127.88,5.0,0.0,,,,SELL
NVDA,208.27,2026/04/24,16:00 EDT,8.63,199.96,210.95,199.81,213442479,20240424,82.65,10.0,0.0,,,,BUY
TSLA,376.3,2026/04/24,16:00 EDT,2.57999,373.26,382.76,370.735,62357183,20250711,308.22,6.99999,,,,,SELL
TSLA,376.3,2026/04/24,16:00 EDT,2.57999,373.26,382.76,370.735,62357183,20250429,291.77,7.0,,,,,SELL
TSLA,376.3,2026/04/24,16:00 EDT,2.57999,373.26,382.76,370.735,62357183,20240422,142.55,9.0,0.0,,,,BUY
TSLA,376.3,2026/04/24,16:00 EDT,2.57999,373.26,382.76,370.735,62357183,20240320,173.0,5.0,0.0,,,,BUY
SOFI,18.44,2026/04/24,16:00 EDT,0.120001,18.44,18.575,18.167,40971806,20240314,7.17,50.0,0.0,,,,BUY
AMZN,263.99,2026/04/24,16:00 EDT,8.90999,259.88,264.375,257.685,53601873,20240129,161.06,2.0,0.0,,,,BUY
PLTR,143.09,2026/04/24,16:00 EDT,1.51999,142.9,143.325,138.93,36728478,20250929,180.0,10.0,0.0,,,,SELL
PLTR,143.09,2026/04/24,16:00 EDT,1.51999,142.9,143.325,138.93,36728478,20250916,170.16,4.0,,,,,SELL
PLTR,143.09,2026/04/24,16:00 EDT,1.51999,142.9,143.325,138.93,36728478,20250916,170.16,1.0,,,,,SELL
PLTR,143.09,2026/04/24,16:00 EDT,1.51999,142.9,143.325,138.93,36728478,20250804,159.59,10.0,,,,,SELL
PLTR,143.09,2026/04/24,16:00 EDT,1.51999,142.9,143.325,138.93,36728478,20250219,124.08,10.0,0.0,,,,SELL
PLTR,143.09,2026/04/24,16:00 EDT,1.51999,142.9,143.325,138.93,36728478,20250210,113.96,10.0,0.0,,,,SELL
PLTR,143.09,2026/04/24,16:00 EDT,1.51999,142.9,143.325,138.93,36728478,20241206,75.91,13.0,0.0,,,,SELL
PLTR,143.09,2026/04/24,16:00 EDT,1.51999,142.9,143.325,138.93,36728478,20241115,64.04,15.0,0.0,,,,SELL
PLTR,143.09,2026/04/24,16:00 EDT,1.51999,142.9,143.325,138.93,36728478,20231211,17.98,24.0,0.0,,,,BUY
PLTR,143.09,2026/04/24,16:00 EDT,1.51999,142.9,143.325,138.93,36728478,20231207,17.23,20.0,0.0,,,,BUY
PLTR,143.09,2026/04/24,16:00 EDT,1.51999,142.9,143.325,138.93,36728478,20231129,20.01,11.0,0.0,,,,BUY
PLTR,143.09,2026/04/24,16:00 EDT,1.51999,142.9,143.325,138.93,36728478,20231101,14.7,28.0,0.0,,,,BUY
PYPL,50.48,2026/04/24,16:00 EDT,0.73,49.81,50.59,49.56,8212812,20231207,58.47,1.0,0.0,,,,BUY
PYPL,50.48,2026/04/24,16:00 EDT,0.73,49.81,50.59,49.56,8212812,20231129,58.51,4.0,0.0,,,,BUY
PYPL,50.48,2026/04/24,16:00 EDT,0.73,49.81,50.59,49.56,8212812,20231101,51.39,8.0,0.0,,,,BUY
PYPL,50.48,2026/04/24,16:00 EDT,0.73,49.81,50.59,49.56,8212812,20231031,51.73,9.0,0.0,,,,BUY
PYPL,50.48,2026/04/24,16:00 EDT,0.73,49.81,50.59,49.56,8212812,20231030,50.77,8.0,0.0,,,,BUY
SHOP,125.83,2026/04/24,16:00 EDT,1.6,124.5,126.46,121.67,8301771,20240805,52.65,4.0,0.0,,,,BUY
SHOP,125.83,2026/04/24,16:00 EDT,1.6,124.5,126.46,121.67,8301771,20210721,155.0,10.0,0.0,,,,SELL
SHOP,125.83,2026/04/24,16:00 EDT,1.6,124.5,126.46,121.67,8301771,20201210,106.875,10.0,0.0,,,,BUY
DBX,24.02,2026/04/24,16:00 EDT,0.120001,23.83,24.105,23.605,2280393,20230515,22.74,14.99999,0.0,,,,SELL
DBX,24.02,2026/04/24,16:00 EDT,0.120001,23.83,24.105,23.605,2280393,20201208,21.08,15.0,0.0,,,,BUY